"N","M","method","run","peak_ram_mib"
1000,2,"2-COL-CC",1,160.94921875
1000,2,"gurobi",1,202.90234375
1000,2,"2-COL-CC",2,161.00390625
1000,2,"gurobi",2,202.80859375
2000,2,"2-COL-CC",1,184.015625
2000,2,"gurobi",1,263.890625
2000,2,"2-COL-CC",2,183.93359375
2000,2,"gurobi",2,294.23046875
3000,2,"2-COL-CC",1,222.109375
3000,2,"gurobi",1,365.4140625
3000,2,"2-COL-CC",2,222.16015625
3000,2,"gurobi",2,365.48828125
4000,2,"2-COL-CC",1,275.58203125
4000,2,"gurobi",1,525.78125
4000,2,"2-COL-CC",2,275.5546875
4000,2,"gurobi",2,525.75390625
5000,2,"2-COL-CC",1,344.18359375
5000,2,"gurobi",1,731.6640625
5000,2,"2-COL-CC",2,344.26171875
5000,2,"gurobi",2,731.73828125
6000,2,"2-COL-CC",1,428.25390625
6000,2,"gurobi",1,983.578125
6000,2,"2-COL-CC",2,428.1875
6000,2,"gurobi",2,983.4140625
7000,2,"2-COL-CC",1,527.25390625
7000,2,"gurobi",1,1281.0234375
7000,2,"2-COL-CC",2,527.26953125
7000,2,"gurobi",2,1281.0625
8000,2,"2-COL-CC",1,641.7265625
8000,2,"gurobi",1,1624.36328125
8000,2,"2-COL-CC",2,641.75390625
8000,2,"gurobi",2,1624.36328125
9000,2,"2-COL-CC",1,771.56640625
9000,2,"gurobi",1,2013.4609375
9000,2,"2-COL-CC",2,771.55859375
9000,2,"gurobi",2,2013.45703125
10000,2,"2-COL-CC",1,916.37109375
10000,2,"gurobi",1,2448.3046875
10000,2,"2-COL-CC",2,916.52734375
10000,2,"gurobi",2,2448.38671875
